Feature,COANC_B04-T0-1_neg_4282025_169,COANC_B04-T0-1_neg_4282025_170,COANC_B04-T0-1_neg_4282025_171,COANC_B04-T0-2_neg_4282025_172,COANC_B04-T0-2_neg_4282025_173,COANC_B04-T0-2_neg_4282025_174,COANC_B04-T1-1_neg_4282025_175,COANC_B04-T1-1_neg_4282025_176,COANC_B04-T1-1_neg_4282025_177,COANC_B04-T1-2_neg_4282025_178,COANC_B04-T1-2_neg_4282025_179,COANC_B04-T1-2_neg_4282025_180,COANC_B04-T2-1_neg_4282025_181,COANC_B04-T2-1_neg_4282025_182,COANC_B04-T2-1_neg_4282025_183,COANC_B04-T2-2_neg_4282025_184,COANC_B04-T2-2_neg_4282025_185,COANC_B04-T2-2_neg_4282025_186,COANC_B04-T3-1_neg_4282025_187,COANC_B04-T3-1_neg_4282025_188,COANC_B04-T3-1_neg_4282025_189,COANC_B04-T3-2_neg_4282025_190,COANC_B04-T3-2_neg_4282025_191,COANC_B04-T3-2_neg_4282025_192,COANC_B04-T4-1_neg_4282025_193,COANC_B04-T4-1_neg_4282025_194,COANC_B04-T4-1_neg_4282025_195,COANC_B04-T4-2_neg_4282025_196,COANC_B04-T4-2_neg_4282025_197,COANC_B04-T4-2_neg_4282025_198,COANC_B04-T5-1_neg_4282025_199,COANC_B04-T5-1_neg_4282025_200,COANC_B04-T5-1_neg_4282025_201,COANC_B04-T5-2_neg_4282025_202,COANC_B04-T5-2_neg_4282025_203,COANC_B04-T5-2_neg_4282025_204,COANC_B04-T6-1_neg_4282025_205,COANC_B04-T6-1_neg_4282025_206,COANC_B04-T6-1_neg_4282025_207,COANC_B04-T6-2_neg_4282025_208,COANC_B04-T6-2_neg_4282025_209,COANC_B04-T6-2_neg_4282025_210,COANC_B04-T7-1_neg_4282025_211,COANC_B04-T7-1_neg_4282025_212,COANC_B04-T7-1_neg_4282025_213,COANC_B04-T7-2_neg_4282025_214,COANC_B04-T7-2_neg_4282025_215,COANC_B04-T7-2_neg_4282025_216,COANC_QC_neg_4282025_005,COANC_QC_neg_4282025_006,COANC_QC_neg_4282025_007,COANC_QC_neg_4282025_008,COANC_QC_neg_4282025_009,COANC_QC_neg_4282025_010,COANC_QC_neg_4282025_011,Extraction-blank_neg_4282025_003,Extraction-blank_neg_4282025_004,Extraction-blank_neg_4282025_067,Extraction-blank_neg_4282025_116,Extraction-blank_neg_4282025_168,Extraction-blank_neg_4282025_217,Instrument-blank_neg_4282025_001,Instrument-blank_neg_4282025_002,Instrument-blank_neg_4282025_066,Instrument-blank_neg_4282025_118,Instrument-blank_neg_4282025_167,Instrument-blank_neg_4282025_219
Group,T0,T0,T0,T0,T0,T0,T1,T1,T1,T1,T1,T1,T2,T2,T2,T2,T2,T2,T3,T3,T3,T3,T3,T3,T4,T4,T4,T4,T4,T4,T5,T5,T5,T5,T5,T5,T6,T6,T6,T6,T6,T6,T7,T7,T7,T7,T7,T7,QC,QC,QC,QC,QC,QC,QC,Blank,Blank,Blank,Blank,Blank,Blank,Iblank,Iblank,Iblank,Iblank,Iblank,Iblank
132.101255 @ 26.84265388150259,5635184.928,5467764.482,5803080.019,5133049.688,4961680.508,5251872.945,5769708.79,5786369.449,5750314.002,6350992.754,6577997.422,6524383.559,6102028.247,6118142.672,5965118.51,5472936.239,5532099.708,5776494.728,5699857.037,5400263.845,5646727.631,5513423.085,5375231.804,5372378.995,5250603.517,5258324.339,5033181.217,6257695.951,5856452.335,6043573.967,5929754.981,5849920.121,6020869.141,5775302.812,5870243.755,5998872.926,5276237.721,5139245.926,5114873.889,5795917.699,5670601.685,5725661.619,7300427.368,7273750.627,6533062.782,5734147.712,5861156.409,5832893.783,3502384.064,3519291.392,3489759.03,3768198.589,3831994.555,3620427.285,3745907.062,457.5603822,2405.329779,1082.512511,1403.213555,291.0523389,304.4229513,0,0,0,0,0,0
253.1171203 @ 51.2782047495453,596065.1908,586876.6707,602815.767,520933.3792,510008.6553,522673.9082,561476.0954,562907.5958,560304.5247,684708.8965,696323.8273,677259.9681,604616.5654,600246.7035,591957.4298,579120.0416,585352.553,599218.3847,632528.5449,619334.26,650502.6052,531320.8127,501610.8715,506830.0394,560227.7845,561369.0948,564235.6007,640214.9446,602774.4735,619009.8046,646248.7887,642458.624,641917.7756,583430.7468,602953.0007,609006.9407,572495.6785,561946.1722,575331.0077,615888.9715,601035.9092,592288.3993,805740.1516,831530.8827,726178.7934,629617.4493,663327.7097,661247.9796,490789.5301,467834.9041,462820.916,463690.5914,456760.097,459312.4904,449249.4149,0,0,0,0,0,0,0,0,0,0,0,0
247.1424633 @ 155.1027074198688,39092.64823,22442.00293,42643.7922,24758.37342,20663.78203,20512.98758,62960.98722,57558.19469,62168.30762,30149.32849,22405.66297,33068.7061,20538.26515,30712.49272,36615.59253,32182.5283,34484.33033,11151.63884,33943.22045,28288.44562,35595.21443,13867.00125,6184.485188,12152.90061,44671.45443,43776.21997,47343.07178,34972.52037,35471.41981,34939.14313,13248.32436,28635.25078,21009.65814,34954.60323,32504.55115,37183.32775,20713.06713,19610.14536,25778.70393,30302.0869,12226.28063,31467.97534,36486.51874,42880.69397,38968.55598,26894.42226,28496.664,28741.83256,25527.95382,26256.78604,26316.51053,25915.44996,26717.71153,25553.53527,27246.68467,0,0,0,0,0,0,0,0,0,0,0,0
496.3373404 @ 470.0776716732942,176801.9105,131018.179,185273.2411,203891.6326,149676.4147,162503.7547,123641.4386,97817.88497,153692.984,148853.722,229804.134,171748.1744,204595.4656,75847.40941,41772.77167,161201.8721,187506.5117,208480.5458,187410.9908,176439.2497,156886.0058,141590.7111,215606.7708,167820.3725,172620.1786,162483.2161,100743.1626,133148.3611,176333.2126,178837.911,208054.0607,129956.7215,165229.0156,72457.65845,133304.6577,172738.3803,128399.115,170914.2371,144280.8882,240096.9867,105771.8304,139552.687,410835.5806,427365.2722,372481.3331,114721.9597,173465.6581,43378.44683,183941.7078,178004.8651,184046.7573,185174.6731,186890.4494,191245.5114,183251.4354,3422.745153,40188.32878,36163.16335,41343.74807,49655.0862,52449.35644,319.8862289,0,0,0,0,0
295.1637103 @ 176.4926726705269,515271.189,502711.9281,517278.3886,473533.3732,451887.045,476992.0538,516498.8579,513032.6409,509024.8331,629545.9546,643521.5411,630071.4568,554899.9305,544142.6599,546577.7033,505425.4027,504677.808,516441.9152,553764.8042,534525.8787,549352.071,441315.3607,432108.0483,427626.2929,473610.8569,467355.04,467605.9295,525273.1179,518748.251,517427.8896,559550.1662,566887.9017,553599.0385,540266.3577,547563.9586,548398.9591,475314.788,477504.7116,473971.3258,510408.6998,497658.5132,494478.3649,752917.0661,798013.3382,685796.7143,544236.08,568706.5579,563319.5499,504933.6787,493172.7514,488095.1708,488639.8211,482640.185,482511.602,472725.4258,0,0,0,0,0,0,0,0,0,0,0,0
608.4129607 @ 583.268451457488,1102038.513,1081143.44,1124917.086,1216143.019,1165698.622,1238858.18,1205230.879,1199901.278,1206585.293,1251719.332,1274528.794,1263291.557,1196019.837,1185090.889,1189958.583,1240778.576,1250242.521,1288603.82,1258515.942,1229145.279,1263831.925,1275759.107,1246027.214,1239296.273,982660.1798,980101.8739,966267.8054,1336272.856,1283229.899,1294679.217,1299749,1320668.694,1319129.957,1146321.613,1145516.155,1172153.755,1237585.461,1215675.025,1220684.885,1435211.67,1390855.58,1386941.74,1407839.261,1435971.812,1257471.102,1211140.855,1248409.589,1227461.792,1216789.219,1192112.082,1195408.514,1210322.255,1182682.49,1198664.144,1171995.981,657849.7242,661745.0631,734575.7513,740715.06,770698.6181,785033.8045,0,0,0,0,0,0
231.1691059 @ 105.4683346248446,860289.5027,811393.1129,837210.8325,778135.914,686309.4717,757980.0478,802117.5064,837831.8596,785993.2447,1095785.126,1034707.727,1009592.409,870443.8319,830796.4044,844962.8937,820824.2708,882182.6593,858968.8065,873388.4474,776543.5408,827243.305,643628.545,617615.3604,667891.6592,810085.8201,873387.2733,815104.4126,826403.9186,851135.0748,823836.2667,924984.3265,957208.9566,917610.7634,846505.4078,912105.437,908871.0835,767876.3026,842460.8337,803329.6357,795188.9949,848211.9231,808707.0815,1332262.532,1466630.342,1212924.934,970760.3925,1086618.962,1066305.17,896358.9881,847085.6674,883829.3302,880945.4024,863708.6615,857400.7613,840499.3734,0,0,0,0,0,0,0,0,0,0,0,0
223.0950996 @ 500.5654966093505,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,692.4999933,0,0,0,0,0,965488.0139,5768.330735,0,0,0,0
208.0956231 @ 234.4624005084424,48908.8298,45610.13333,50072.7507,44158.21308,40921.14478,43811.39211,43049.2838,45100.38084,45705.65216,49338.1467,49757.92278,48699.54231,49068.18599,21400.55168,47123.0987,34567.44006,39401.23583,39452.59683,18351.75737,31896.28093,33223.52873,41209.95228,40933.79938,43737.63294,22335.09477,40385.13932,37641.70384,40171.31738,39563.56194,41348.35476,22142.6779,30439.27297,33918.93649,45223.73353,46673.25126,27559.88964,32807.12345,33946.35406,33552.46447,39998.87778,41061.45883,39094.76767,63588.67775,65160.42553,57692.36318,36236.17984,39414.00254,38334.47704,42156.34509,42731.85589,41615.72267,42864.90293,41990.21173,42285.29786,41324.14787,0,0,0,0,0,0,0,0,0,0,0,0
